status,pattern_name,reference,simplified_regex,is_public,notes
OK,admin:index,django.contrib.admin.sites.index,/admin/,private,
OK,admin:login,django.contrib.admin.sites.login,/admin/login/,private,
OK,admin:logout,django.contrib.admin.sites.logout,/admin/logout/,private,
OK,admin:password_change,django.contrib.admin.sites.password_change,/admin/password_change/,private,
OK,admin:password_change_done,django.contrib.admin.sites.password_change_done,/admin/password_change/done/,private,
OK,admin:autocomplete,django.contrib.admin.sites.autocomplete_view,/admin/autocomplete/,private,
OK,admin:jsi18n,django.contrib.admin.sites.i18n_javascript,/admin/jsi18n/,private,
OK,admin:view_on_site,django.contrib.contenttypes.views.shortcut,/admin/r/<int:content_type_id>/<path:object_id>/,private,
OK,admin:auth_group_changelist,django.contrib.admin.options.changelist_view,/admin/auth/group/,private,
OK,admin:auth_group_add,django.contrib.admin.options.add_view,/admin/auth/group/add/,private,
OK,admin:auth_group_history,django.contrib.admin.options.history_view,/admin/auth/group/<path:object_id>/history/,private,
OK,admin:auth_group_delete,django.contrib.admin.options.delete_view,/admin/auth/group/<path:object_id>/delete/,private,
OK,admin:auth_group_change,django.contrib.admin.options.change_view,/admin/auth/group/<path:object_id>/change/,private,
OK,admin:None,django.views.generic.base.RedirectView,/admin/auth/group/<path:object_id>/,private,
OK,admin:auth_user_password_change,django.contrib.auth.admin.user_change_password,/admin/auth/user/<id>/password/,private,
OK,admin:auth_user_changelist,django.contrib.admin.options.changelist_view,/admin/auth/user/,private,
OK,admin:auth_user_add,django.contrib.auth.admin.add_view,/admin/auth/user/add/,private,
OK,admin:auth_user_history,django.contrib.admin.options.history_view,/admin/auth/user/<path:object_id>/history/,private,
OK,admin:auth_user_delete,django.contrib.admin.options.delete_view,/admin/auth/user/<path:object_id>/delete/,private,
OK,admin:auth_user_change,django.contrib.admin.options.change_view,/admin/auth/user/<path:object_id>/change/,private,
OK,admin:None,django.views.generic.base.RedirectView,/admin/auth/user/<path:object_id>/,private,
OK,admin:app_list,django.contrib.admin.sites.app_index,/admin/<app_label>/,private,
OK,admin:None,django.contrib.admin.sites.catch_all_view,/admin/<url>,private,
